avg_established_duration,connections_per_second,failure_rate,process_to_ip_diversity,destination_diversity_score,ip_entropy,label
39084.36972,0.044678911,0.011661808,7,0.069970845,3.512919823,0
40275.91767,0.043529258,0.011976048,6.923076923,0.068862275,3.528255105,0
44641.42047,0.039068897,0.011976048,6.333333333,0.068862275,3.541437949,0
43507.69081,0.043327093,0.012345679,6.428571429,0.064814815,3.519561265,0
43259.57471,0.042526492,0.013114754,6.615384615,0.068852459,3.539301497,0
48807.34808,0.038429523,0.014440433,6.357142857,0.075812274,3.63373858,0
47162.88448,0.039809863,0.014925373,6.615384615,0.078358209,3.619450258,0
47450.91613,0.040405616,0.019305019,6.538461538,0.081081081,3.593090787,0
51183.08781,0.039791059,0.015444015,6.285714286,0.081081081,3.616709666,0
50765.79024,0.039123377,0.020746888,6.615384615,0.087136929,3.635859207,0
50230.19833,0.03781362,0.018957346,6.307692308,0.09478673,3.603073057,0
47279.50695,0.03950426,0.024509804,6.5,0.098039216,3.573817392,0
53454.76692,0.037193887,0.01980198,6.307692308,0.099009901,3.588640539,0
50917.82757,0.038621262,0.037634409,6.5,0.107526882,3.579595827,0
55065.06553,0.037297528,0.022857143,6.583333333,0.114285714,3.597939647,0
61368.9842,0.035244161,0.030120482,6.076923077,0.120481928,3.619121613,0
58418.26722,0.036571162,0.025477707,6.333333333,0.127388535,3.596767226,0
63112.30177,0.035835351,0.027027027,6.416666667,0.135135135,3.601874125,0
69680.48668,0.033288349,0.027027027,6.153846154,0.135135135,3.601869976,0
73157.65228,0.030267203,0.0390625,5.692307692,0.1484375,3.583918124,0
28706.98537,0.023930051,0.076923077,7.5,0.269230769,3.510860154,0
24260.38389,0.055979644,0,8.75,0.050505051,3.222820171,0
21980.90352,0.056481631,0,9.428571429,0.05730659,3.248953714,0
23262.78024,0.052706779,0,8.625,0.060240964,3.291982546,0
20927.05956,0.05645445,0,8.857142857,0.059190031,3.225006157,0
25159.00606,0.053819154,0,7.1,0.062111801,3.292739433,0
25629.48766,0.053872633,0,7.1,0.063897764,3.298142558,0
26203.53024,0.053872054,0.003289474,7.666666667,0.065789474,3.288747535,0
22319.54805,0.058181096,0,9.142857143,0.068259386,3.225311705,0
33693.1124,0.053676471,0,7.1,0.068493151,3.279999294,0
23178.23452,0.058497011,0,9.142857143,0.072992701,3.202333533,0
24168.44801,0.052958213,0,8.125,0.07421875,3.222613831,0
